eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
621871889,2020,04,15,17,59,30.80,101.53,-4.87,26,4.1229,0
12922661,2008,09,24,02,49,27   ,106.16,-7.85,26,4.2,0
15882848,2010,09,12,03,40,54.10,107.29,-8.14,26,4.2,0
998210,1996,11,21,11,41,31.57,105.2574,-6.1125,26,4.22397,0
3013608,2001,02,15,01,52,20.02,103.031,-4.9136,26,4.22397,0
3756017,2002,01,15,07,12,25.28,105.3908,-5.9795,26,4.22397,0
6618603,2003,03,20,23,39,37.80,105.5639,-6.1567,26,4.22397,0
15632802,2010,04,30,00,57,29.83,105.3962,-6.1622,26,4.22397,0
609344048,2016,05,06,00,54,14.24,105.3846,-5.9531,26,4.22397,0
72863,1995,10,01,16,17,09.75,105.2554,-6.1445,26,4.32504,0
3754484,2002,02,26,06,17,05.46,105.5756,-6.1632,26,4.32504,0
7360540,2004,06,25,23,09,00.12,101.9461,-5.7707,26,4.32504,0
2781772,2000,09,22,22,17,10.55,102.1395,-4.9433,26,4.52718,0
3756571,2002,01,20,01,18,49.56,105.3751,-6.1282,26,4.52718,0
2929440,2002,03,17,09,59,28.78,105.6215,-5.8602,26,4.52718,0
7128632,2003,09,17,06,06,55.95,105.2814,-6.231,26,4.52718,0
13492683,2008,03,20,09,25,15.97,105.3392,-6.0549,26,4.52718,0
16856961,2011,06,11,14,21,07.28,100.1091,-2.7086,26,4.52718,0
809051,1969,05,17,08,36,57.25,105.3374,-5.8353,26,4.62825,0
92477,1995,07,06,11,43,10.30,105.5204,-6.0138,26,4.62825,0
1739444,2000,08,28,07,18,52.20,105.4132,-6.2426,26,4.62825,0
1741510,2000,11,12,01,58,37.17,105.7,-5.8042,26,4.62825,0
611836925,2015,10,14,22,52,28.10,105.3425,-6.129,26,4.62825,0
610014,1981,10,16,06,34,57.77,105.3122,-5.9456,26,4.72932,0
602937,1982,03,25,05,19,00.74,105.301,-6.2178,26,4.72932,0
72864,1995,10,01,16,17,32.17,105.4872,-5.8677,26,4.72932,0
266724,1992,10,09,14,20,05   ,105.3,-7.1,26,4.8,0
832051,1967,08,08,09,47,59.05,105.4303,-5.9303,26,4.83039,0
825572,1968,03,30,14,20,01.89,105.5437,-5.9889,26,4.83039,0
803456,1969,10,15,21,08,54.79,105.4639,-5.912,26,4.83039,0
749270,1974,04,12,11,30,06.54,105.3255,-6.0287,26,4.83039,0
737690,1974,09,19,19,21,07.03,105.5641,-6.073,26,4.83039,0
591328,1982,10,31,22,17,34.37,105.4329,-5.9939,26,4.83039,0
522060,1985,06,06,14,40,30.49,105.3956,-6.1452,26,4.83039,0
347482,1990,12,15,02,55,54.17,105.6213,-5.841,26,4.83039,0
345258,1991,01,24,05,46,09.14,105.4749,-5.8332,26,4.83039,0
992189,1996,10,17,13,58,11.83,105.2655,-6.0801,26,4.83039,0
1832331,2001,02,14,08,34,55.40,105.4101,-5.9934,26,4.83039,0
1917097,2001,06,04,08,04,03.69,105.4336,-5.8661,26,4.83039,0
7952355,2005,12,08,01,05,08.80,105.5173,-6.0544,26,4.83039,0
827987,1967,12,01,16,36,43.70,105.3906,-6.0979,26,4.93146,0
793874,1970,07,19,15,30,06.67,105.4438,-6.1316,26,4.93146,0
462135,1987,07,15,08,15,18.93,105.5434,-5.8623,26,4.93146,0
66134,1995,12,29,20,12,10.74,105.362,-6.0882,26,4.93146,0
1176703,1998,08,15,03,30,46.57,105.3022,-5.8969,26,4.93146,0
3211174,2002,06,27,10,46,42.92,103.809,-7.0976,26,4.93146,0
608022987,2015,11,07,05,56,36.98,105.2772,-6.1535,26,4.93146,0
746851,1974,06,08,10,35,55.90,105.3226,-5.9768,26,5.03253,0
640770,1980,08,30,07,58,28.59,105.2971,-6.0587,26,5.03253,0
527411,1985,04,12,21,05,05.21,105.5799,-6.0413,26,5.03253,0
271503,1992,09,04,16,34,42.42,105.3311,-6.1956,26,5.03253,0
164371,1994,07,12,22,40,25.29,105.5059,-6.0899,26,5.03253,0
1005784,1997,01,10,18,32,42.41,105.5775,-5.8423,26,5.03253,0
870363,1964,02,04,22,52,05.01,105.404,-5.8623,26,5.1336,0
862398,1964,11,02,09,18,02.07,105.4108,-5.8362,26,5.1336,0
856085,1965,06,12,17,54,49.54,105.3491,-6.0473,26,5.1336,0
796728,1970,04,14,07,47,35.38,105.4676,-5.754,26,5.1336,0
691087,1977,11,28,06,12,49.51,105.4081,-5.9897,26,5.1336,0
564843,1983,11,13,03,48,46.87,105.2904,-5.8953,26,5.1336,0
540552,1984,10,03,20,24,54.59,105.5447,-6.0834,26,5.1336,0
452280,1987,11,05,22,47,38.19,105.3832,-6.0569,26,5.1336,0
846240,1966,06,07,22,18,56.92,105.3522,-5.8514,26,5.23467,0
800327,1970,01,23,05,08,28.41,105.5468,-6.0332,26,5.23467,0
422065,1988,10,06,11,59,16.23,105.3359,-6.0858,26,5.23467,0
869416,1964,03,10,07,02,04.31,105.3088,-6.1392,26,5.33574,0
787520,1971,02,19,14,25,37.51,105.4006,-5.8709,26,5.33574,0
536602,1984,12,15,05,10,25.35,105.3811,-6.0745,26,5.33574,0
7073262,2003,08,29,23,41,21.49,102.1626,-5.4702,26,5.33574,0
817381,1968,09,26,08,06,56.92,105.3799,-5.7565,26,5.53788,0
781919,1971,07,04,19,02,52.58,105.4236,-5.8548,26,5.53788,0
676161,1978,09,02,07,39,20.19,105.6068,-5.9542,26,5.53788,0
409596,1989,03,08,08,22,35.28,105.2665,-6.0278,26,5.63895,0
15636407,2010,06,20,12,13,15.79,103.7494,-5.9263,25.9,3.92076,0
3807417,2002,10,05,15,59,16.16,102.1065,-5.4019,25.9,4.02183,0
3014160,2001,02,18,05,32,11.79,102.8814,-4.9211,25.9,4.42611,0
1738960,2000,08,12,18,56,31.92,102.2487,-5.1995,25.9,4.52718,0
13246657,2007,10,21,14,27,23.57,100.7241,-3.7364,25.9,4.72932,0
3269533,2001,02,15,19,27,36.90,102.8352,-2.8191,25.8,3.31434,0
7739075,2005,03,06,10,23,23.34,104.4534,-7.6688,25.8,4.32504,0
1024099,1997,04,27,11,53,07.12,106.4583,-6.4143,25.8,4.52718,0
1740834,2000,10,16,19,12,13.89,101.7871,-5.5075,25.8,4.83039,0
274535,1992,09,25,08,57,41.32,102.6059,-5.4664,25.8,5.43681,0
2770811,2001,02,13,19,28,30.80,102.5549,-4.9694,25.8,6.64965,0
3318286,2001,05,13,13,07,08.02,103.8703,-4.9187,25.7,3.51648,0
3791650,2002,07,13,07,24,03.78,104.6766,-7.5532,25.7,3.71862,0
608343882,2016,01,30,14,43,20.18,105.8864,-8.0482,25.7,4.22397,0
2772319,2000,06,07,17,43,30.26,102.871,-5.4391,25.7,4.32504,0
509752,1985,12,29,16,24,42.04,103.947,-6.1712,25.7,4.83039,0
7736640,2005,03,01,09,19,06.29,100.8018,-5.1296,25.7,4.83039,0
1075606,1998,02,06,21,55,28.57,105.3555,-6.1722,25.7,4.93146,0
15902867,2011,01,02,15,19,31.30,101.322,-4.5694,25.7,5.74002,0
15265938,2010,10,25,19,37,30.76,100.3671,-3.0095,25.7,6.1443,0
618740203,2020,08,18,22,29,24.26,101.2185,-4.2209,25.7,6.34644,0
15634396,2010,05,25,20,15,20.77,107.8478,-8.4642,25.6,3.51648,0
